EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1
37	22:43:50	0	0.0500	0.44116473064742273	0.5978570580482483	0.815	0.7392	0.7753	0.9822390675544739	0.7228	0.6406	0.6792
38	22:57:13	1	0.0500	0.440702396856007	0.5795555710792542	0.8051	0.765	0.7845	0.9769026041030884	0.7105	0.6496	0.6787
39	23:10:40	2	0.0500	0.42252565150320864	0.5742408633232117	0.8019	0.7832	0.7924	0.979447066783905	0.6973	0.6717	0.6843
40	23:24:06	0	0.0500	0.4262366092571333	0.5943755507469177	0.7966	0.7741	0.7852	0.9943469166755676	0.707	0.6721	0.6891
41	23:37:24	1	0.0500	0.4194536052186396	0.5756686925888062	0.8093	0.7932	0.8012	1.0007790327072144	0.7087	0.66	0.6835
42	23:50:54	0	0.0500	0.41082451450924634	0.5709793567657471	0.7978	0.7766	0.7871	0.9955942034721375	0.7029	0.6655	0.6837
43	00:04:13	1	0.0500	0.39945106649532	0.5701891779899597	0.7952	0.7674	0.7811	0.9936217069625854	0.7056	0.6766	0.6908
44	00:17:36	2	0.0500	0.4024436188310218	0.5651090145111084	0.8128	0.7791	0.7956	1.0182689428329468	0.7216	0.6628	0.691
45	00:31:03	3	0.0500	0.3934127518168375	0.5792445540428162	0.8281	0.7882	0.8077	1.0425095558166504	0.7194	0.66	0.6884
46	00:44:38	0	0.0500	0.38018997392341414	0.5523456335067749	0.8276	0.8056	0.8165	1.0367603302001953	0.7139	0.6672	0.6898
47	00:58:17	0	0.0500	0.38685405579026183	0.5540273189544678	0.8596	0.7832	0.8196	1.0433728694915771	0.7372	0.6282	0.6783
48	01:11:58	0	0.0500	0.38031085822002847	0.5915783047676086	0.7819	0.804	0.7928	1.051153302192688	0.6921	0.6859	0.689
49	01:25:22	1	0.0500	0.373475480304417	0.5705698132514954	0.8288	0.7841	0.8058	1.0391530990600586	0.7297	0.6669	0.6969
50	01:39:08	2	0.0500	0.36490256168655844	0.5589607954025269	0.8322	0.8115	0.8217	1.032222032546997	0.7126	0.67	0.6906
51	01:52:57	0	0.0500	0.3628991533008368	0.5485529899597168	0.8228	0.8098	0.8162	1.010721206665039	0.7172	0.6755	0.6957
52	02:06:30	1	0.0500	0.368322322946354	0.5375884175300598	0.8435	0.8189	0.831	1.0336514711380005	0.721	0.6707	0.6949
